Column1,Bhk,Furnishing,Tennants,Area,Price,Locality
0,3,Furnished,Bachelors/Family,1800 sqft,34000,"Bhagyalaxmi Nagar, Kavadiguda"
1,3,Semi-Furnished,Family,2500 sqft,45000,"Gachibowli, Outer Ring Road"
2,1,Furnished,Bachelors/Family,read more,18000,Gachibowli
3,3,Furnished,Bachelors/Family,2160 sqft,40000,"Moosapet, NH"
4,3,Semi-Furnished,Family,1580 sqft,23000,Raghavendra Colony kondapur
5,3,Furnished,Bachelors/Family,2600 sqft,50000,"Banjara Darwaja, Golconda Fort"
6,3,Semi-Furnished,Bachelors/Family,1350 sqft,32000,"Mohans Sai Signature, Nanakramguda"
7,1,Furnished,Bachelors/Family,read more,13000,Gowlidoddi
8,3,Furnished,Bachelors/Family,1700 sqft,35000,"Somajiguda, NH"
9,3,Unfurnished,Family,1150 sqft,11000,Kapra
10,3,Semi-Furnished,Family,1330 sqft,19000,"Tilak Nagar, New Nallakunta, NH"
11,3,Unfurnished,Bachelors,1836 sqft,30000,"Neknampur, Manikonda, Outer Ring Road"
12,3,Semi-Furnished,Bachelors/Family,1540 sqft,18000,"Mayuri Nagar, Miyapur"
13,3,Semi-Furnished,Bachelors/Family,1720 sqft,30000,"Accurate Wind Chimes, Narsingi, Outer Ring Road"
14,3,Semi-Furnished,Family,1950 sqft,31000,"Hyder Nagar, NH"
15,3,Semi-Furnished,Bachelors/Family,2075 sqft,49000,"Vajras Jasmine County, Financial district Gachibowli"
16,3,Semi-Furnished,Bachelors/Family,2500 sqft,38000,"Tirumala Gardens, Banjara Hills, NH"
17,2,Semi-Furnished,Family,1080 sqft,18000,"Paragon Venkatadri Apartments, Kachiguda, NH"
18,3,Semi-Furnished,Bachelors/Family,1500 sqft,26000,"Meenakshi Homes, Miyapur, NH"
19,3,Semi-Furnished,Bachelors/Family,2150 sqft,25000,Papulguda
20,2,Furnished,Bachelors/Family,1350 sqft,12000,"Bachupally, Outer Ring Road"
21,3,Semi-Furnished,Bachelors/Family,1198 sqft,34000,Nanakram Guda
22,3,Semi-Furnished,Family,2100 sqft,39000,"L&T Serene County, Gachibowli, Outer Ring Road"
23,3,Unfurnished,Bachelors/Family,1875 sqft,37000,"SM Plaza, ECIL"
24,3,Unfurnished,Bachelors/Family,1200 sqft,13000,"Chatta Bazaar, Pathar Gatti"
25,2,Semi-Furnished,Family,1296 sqft,35000,"Lodha Meridian, Kukatpally Housing Board Colony, NH"
26,2,Furnished,Bachelors/Family,1100 sqft,45000,Hitech City City
27,3,Semi-Furnished,Bachelors/Family,2000 sqft,38000,"Banjara Hills, NH"
28,3,Furnished,Bachelors,2020 sqft,45000,"Gachibowli, Outer Ring Road"
29,2,Furnished,Bachelors/Family,1200 sqft,35000,Mehindipatnam
30,3,Unfurnished,Bachelors,1640 sqft,35000,"YMCA Circle, Narayanguda"
31,3,Unfurnished,Bachelors,1640 sqft,35000,"YMCA Circle, Narayanguda"
32,3,Semi-Furnished,Bachelors/Family,1870 sqft,40000,"Vajras Jasmine County, Gachibowli, Outer Ring Road"
33,3,Semi-Furnished,Family,1600 sqft,25000,Jubilee Hills
34,3,Semi-Furnished,Bachelors/Family,1650 sqft,25000,Kondapur
35,3,Semi-Furnished,Bachelors/Family,East Facing Property,27000,Kondapur
36,2,Unfurnished,Bachelors,1260 sqft,19000,Kondapur
37,3,Semi-Furnished,Bachelors/Family,1920 sqft,35000,"Golf View, Gachibowli, Outer Ring Road"
38,3,Unfurnished,Bachelors/Family,1250 sqft,18000,Devan Devdi
39,3,Semi-Furnished,Bachelors,1818 sqft,40000,"Lodha Casa Paradiso, Sanath Nagar, NH"
40,3,Semi-Furnished,Family,2130 sqft,24000,"Srila Park Pride, Kukatpally, NH"
41,3,Unfurnished,Family,1800 sqft,35000,"Gudi Malkapur, Mehdipatnam"
42,3,Furnished,Bachelors,1555 sqft,30000,"Bachupally, Outer Ring Road"
43,1,Furnished,Bachelors/Family,East Facing Property,23000,"Banjara Basera Apartment, Banjara Hills, NH"
44,2,Semi-Furnished,Family,1200 sqft,16000,KPHB
45,3,Semi-Furnished,Bachelors/Family,1600 sqft,20000,"Dullapally, NH"
46,2,Unfurnished,Bachelors,1296 sqft,12000,"VSR Celestial Towers, Gajularamaramm"
47,3,Semi-Furnished,Bachelors/Family,2072 sqft,28000,"Jeedimetla, NH"
48,3,Unfurnished,Bachelors/Family,1460 sqft,17000,"Vasanth Nagar Colony, Nizampet"
49,3,Semi-Furnished,Bachelors,1900 sqft,45000,"Nallagandla, Serilingampally"
50,2,Unfurnished,Bachelors/Family,950 sqft,15500,Brindavan Colony-Toli Chowki
51,2,Furnished,Bachelors/Family,1100 sqft,16000,West Marredpally
52,2,Semi-Furnished,Family,1563 sqft,20000,"PBEL City, Appa junction"
53,3,Unfurnished,Bachelors/Family,1990 sqft,36000,"Aditya Empress Towers, Shaikpet"
54,3,Unfurnished,Bachelors,2051 sqft,45000,"Prestige Ivy League, Phase"
55,1,Unfurnished,Bachelors/Family,read more,9800,Shri
56,3,Semi-Furnished,Bachelors/Family,1260 sqft,20000,"Upparpally, Hyderabad Expressway"
57,2,Unfurnished,Bachelors/Family,1075 sqft,15000,"Gangaram, Chandanagar, NH"
58,3,Semi-Furnished,Bachelors/Family,2100 sqft,30000,"Srinivas Nagar, Rhoda Mistri Nagar"
59,3,Unfurnished,Bachelors,2000 sqft,35000,"Vasanth Nagar Colony, Nizampet"
60,3,Semi-Furnished,Bachelors/Family,1600 sqft,36000,Madhapur
